                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1598,                  0.979,                      1,                 1.5201,             0.00023762,             0.00023762,             0.00023762
                      2,                0.26408,                 0.9905,                      1,                 1.4859,             0.00042853,             0.00042853,             0.00042853
                      3,                0.20151,                  0.984,                      1,                 1.4832,             0.00057232,             0.00057232,             0.00057232
                      4,                0.16786,                 0.9885,                      1,                 1.4786,             0.00050194,             0.00050194,             0.00050194
                      5,                0.14849,                 0.9905,                      1,                 1.4754,             0.00050194,             0.00050194,             0.00050194
                      6,                 0.1211,                  0.991,                      1,                 1.4733,             0.00043126,             0.00043126,             0.00043126
                      7,                0.08605,                  0.996,                      1,                 1.4688,             0.00036057,             0.00036057,             0.00036057
                      8,                 0.0708,                  0.996,                      1,                 1.4678,             0.00028988,             0.00028988,             0.00028988
                      9,                0.05592,                  0.995,                      1,                 1.4693,              0.0002192,              0.0002192,              0.0002192
                     10,                  0.048,                 0.9965,                      1,                 1.4686,             0.00014851,             0.00014851,             0.00014851
