                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2881,                0.97367,                0.99867,                 1.8783,             0.00023775,             0.00023775,             0.00023775
                      2,                0.25938,                  0.984,                0.99967,                 1.8457,             0.00042865,             0.00042865,             0.00042865
                      3,                0.21694,                  0.982,                0.99867,                 1.8438,             0.00057242,             0.00057242,             0.00057242
                      4,                0.16964,                  0.993,                0.99933,                 1.8282,             0.00050194,             0.00050194,             0.00050194
                      5,                0.14357,                0.99667,                0.99967,                 1.8239,             0.00050194,             0.00050194,             0.00050194
                      6,                  0.114,                0.99567,                0.99967,                 1.8226,             0.00043126,             0.00043126,             0.00043126
                      7,                0.08443,                0.99733,                0.99967,                 1.8211,             0.00036057,             0.00036057,             0.00036057
                      8,                0.06847,                  0.998,                      1,                 1.8198,             0.00028988,             0.00028988,             0.00028988
                      9,                0.05634,                0.99733,                      1,                 1.8196,              0.0002192,              0.0002192,              0.0002192
                     10,                0.04118,                0.99933,                      1,                 1.8187,             0.00014851,             0.00014851,             0.00014851
